dm,width,sigma_x100,t,verdict
187301,16,564,75136,-
187301,32,525,75129,-
187301,64,489,101262,-
187301,128,440,49164,-
190476,1,1193,4774,-
190476,2,796,4775,-
190476,4,721,75140,-
190476,8,733,75142,-
190476,16,536,75136,-
190476,32,523,75128,-
190476,64,476,101261,-
190476,128,441,49164,-
193650,1,1276,4774,-
193650,2,853,4775,-
193650,4,775,75141,-
193650,8,707,75142,-
193650,16,547,75135,-
193650,32,524,75129,-
193650,64,488,101261,-
193650,128,442,49164,-
196825,1,1214,4773,-
196825,2,755,4773,-
196825,4,735,75140,-
196825,8,671,75141,-
196825,16,575,75134,-
196825,32,525,75129,-
196825,64,471,49179,-
196825,128,439,49164,-
200000,1,1229,4773,-
200000,2,792,75140,-
200000,4,737,75140,-
200000,8,688,75141,-
200000,16,574,75134,-
200000,32,541,75128,-
200000,64,475,49181,-
200000,128,438,49187,-
