dm,width,sigma_x100,t,verdict
149206,1,1183,47206,-
149206,2,864,47207,-
149206,4,687,172627,-
149206,8,584,156149,-
149206,16,543,230320,-
149206,32,464,47106,-
149206,64,414,9313,-
149206,128,397,7790,-
152380,1,1140,89196,-
152380,2,863,172627,-
152380,4,757,47205,-
152380,8,595,156148,-
152380,16,531,230320,-
152380,32,457,96855,-
152380,64,412,9349,-
152380,128,397,7790,-
155555,1,1051,38453,-
155555,2,867,172627,-
155555,4,766,47205,-
155555,8,588,156148,-
155555,16,534,96857,-
155555,32,475,47105,-
155555,64,422,9312,-
155555,128,399,7790,-
158730,1,1109,38453,-
158730,2,884,172627,-
158730,4,766,47205,-
158730,8,591,156148,-
158730,16,537,42921,-
158730,32,473,96855,-
158730,64,422,9312,-
158730,128,400,7790,-
161904,1,1310,172626,-
161904,2,965,172626,-
161904,4,764,47205,-
161904,8,587,156147,-
161904,16,567,230320,-
161904,32,475,96855,-
161904,64,408,9311,-
161904,128,398,7790,-
165079,1,1240,172626,-
165079,2,959,172626,-
165079,4,786,47205,-
165079,8,597,156147,-
165079,16,564,230320,-
165079,32,474,96853,-
165079,64,423,9311,-
165079,128,401,7790,-
168253,1,1458,47203,SHOT
168253,2,1015,47204,-
168253,4,802,47205,-
168253,8,587,156147,-
168253,16,551,230320,-
168253,32,469,96854,-
168253,64,408,94105,-
168253,128,407,7790,-
171428,1,1458,47203,SHOT
171428,2,1015,47204,-
171428,4,802,47205,-
171428,8,587,156147,-
171428,16,551,230320,-
171428,32,469,96854,-
171428,64,408,94105,-
171428,128,407,7790,-
174603,1,1143,47202,-
174603,2,1025,47203,-
174603,4,800,142362,-
174603,8,592,230324,-
174603,16,600,230320,-
174603,32,480,96851,-
174603,64,408,94104,-
174603,128,409,7790,-
177777,1,1143,47202,-
177777,2,1025,47203,-
177777,4,800,142362,-
177777,8,592,230324,-
177777,16,600,230320,-
177777,32,480,96851,-
177777,64,408,94104,-
177777,128,409,7790,-
180952,1,1143,47202,-
180952,2,1025,47203,-
180952,4,800,142362,-
180952,8,592,230324,-
180952,16,600,230320,-
180952,32,480,96851,-
180952,64,408,94104,-
180952,128,409,7790,-
184126,1,1216,230320,-
184126,2,965,38454,-
184126,4,730,142361,-
184126,8,587,230324,-
184126,16,577,230320,-
184126,32,477,96851,-
184126,64,408,231590,-
184126,128,413,7790,-
187301,1,1230,38453,-
187301,2,948,38454,-
187301,4,745,142361,-
187301,8,579,230324,-
187301,16,584,230320,-
187301,32,479,96851,-
187301,64,412,94103,-
187301,128,413,7790,-
190476,1,1382,38453,-
190476,2,948,38454,-
190476,4,714,142360,-
190476,8,613,230316,-
190476,16,606,230320,-
190476,32,484,96851,-
190476,64,410,231590,-
190476,128,415,7789,-
193650,1,1237,38453,-
193650,2,915,38454,-
193650,4,722,47202,-
193650,8,556,230316,-
193650,16,561,230320,-
193650,32,497,96851,-
193650,64,410,94110,-
193650,128,416,7789,-
196825,1,1219,230318,-
196825,2,883,38453,-
196825,4,648,1059,-
196825,8,604,42919,-
196825,16,547,230320,-
196825,32,477,96851,-
196825,64,415,94110,-
196825,128,407,7789,-
200000,1,1221,230318,-
200000,2,902,38453,-
200000,4,696,129573,-
200000,8,626,42919,-
200000,16,553,230320,-
200000,32,488,96851,-
200000,64,419,94110,-
200000,128,409,7790,-
