bin_lo,freq_lo_mhz,mean,std,max,median,top3(bin:val)
63963136,2542.089844,1.56649e+11,4.07819e+10,3.03942e+13,1.61264e+11,23592960:3.039e+13;19398656:3.033e+13;8912896:3.026e+13
65011712,2539.160156,1.62859e+11,6.2829e+10,5.75712e+13,1.67586e+11,17301504:5.757e+13;25690112:5.732e+13;8912896:5.731e+13
66060288,2536.230469,1.68038e+11,6.34178e+10,5.77274e+13,1.72902e+11,14155776:5.773e+13;26738688:5.763e+13;29884416:5.763e+13
67108864,2533.300781,1.70109e+11,6.3833e+10,5.81139e+13,1.75024e+11,4718592:5.811e+13;19398656:5.808e+13;9961472:5.806e+13
68157440,2530.371094,1.68401e+11,6.35773e+10,5.80906e+13,1.73272e+11,25690112:5.809e+13;26738688:5.785e+13;1572864:5.76e+13
69206016,2527.441406,1.64824e+11,6.32837e+10,5.78416e+13,1.69597e+11,30932992:5.784e+13;14155776:5.78e+13;3670016:5.764e+13
70254592,2524.511719,1.62791e+11,6.28688e+10,5.79498e+13,1.67532e+11,19398656:5.795e+13;11010048:5.761e+13;5767168:5.752e+13
71303168,2521.582031,1.62305e+11,6.30285e+10,5.77515e+13,1.6705e+11,2621440:5.775e+13;6815744:5.746e+13;24641536:5.745e+13
72351744,2518.652344,1.62468e+11,6.29907e+10,5.82472e+13,1.6724e+11,25690112:5.825e+13;21495808:5.746e+13;4718592:5.745e+13
73400320,2515.722656,1.62069e+11,6.28759e+10,5.79316e+13,1.66866e+11,24641536:5.793e+13;30932992:5.782e+13;1572864:5.768e+13
74448896,2512.792969,1.60059e+11,6.2616e+10,5.78573e+13,1.6482e+11,25690112:5.786e+13;13107200:5.751e+13;28835840:5.746e+13
75497472,2509.863281,1.57549e+11,6.23436e+10,5.77015e+13,1.6224e+11,12058624:5.77e+13;9961472:5.756e+13;33030144:5.736e+13
76546048,2506.933594,1.56382e+11,6.23743e+10,5.76536e+13,1.61056e+11,3670016:5.765e+13;9961472:5.758e+13;19398656:5.751e+13
77594624,2504.003906,1.56956e+11,6.2383e+10,5.78943e+13,1.61662e+11,25690112:5.789e+13;12058624:5.761e+13;22544384:5.76e+13
78643200,2501.074219,1.5997e+11,6.33584e+10,5.77696e+13,1.64691e+11,3670016:5.777e+13;17301504:5.764e+13;11010048:5.763e+13
79691776,2498.144531,1.60789e+11,6.27714e+10,5.78777e+13,1.65597e+11,5767168:5.788e+13;23592960:5.781e+13;29884416:5.75e+13
80740352,2495.214844,1.67183e+11,1.14377e+11,1.13423e+14,1.70959e+11,2621440:1.134e+14;25690112:1.131e+14;16252928:1.129e+14
81788928,2492.285156,1.62657e+11,6.31921e+10,5.78121e+13,1.67478e+11,3670016:5.781e+13;11010048:5.775e+13;28835840:5.772e+13
82837504,2489.355469,1.70146e+11,6.59184e+10,5.78417e+13,1.72801e+11,23592960:5.784e+13;21495808:5.779e+13;25690112:5.772e+13
83886080,2486.425781,1.7501e+11,6.72914e+10,5.7992e+13,1.77494e+11,14155776:5.799e+13;20447232:5.773e+13;31981568:5.763e+13
84934656,2483.496094,1.62671e+11,6.30584e+10,5.80095e+13,1.67483e+11,15204352:5.801e+13;9961472:5.789e+13;25690112:5.775e+13
85983232,2480.566406,1.65164e+11,6.32159e+10,5.76955e+13,1.70043e+11,8912896:5.77e+13;25690112:5.749e+13;22544384:5.746e+13
87031808,2477.636719,1.6746e+11,6.33784e+10,5.78639e+13,1.72363e+11,18350080:5.786e+13;33030144:5.779e+13;16252928:5.755e+13
88080384,2474.707031,1.68165e+11,6.35058e+10,5.79122e+13,1.73116e+11,1572864:5.791e+13;33030144:5.762e+13;16252928:5.758e+13
89128960,2471.777344,1.67137e+11,6.33979e+10,5.77077e+13,1.72114e+11,30932992:5.771e+13;22544384:5.763e+13;20447232:5.759e+13
90177536,2468.847656,1.65809e+11,6.72549e+10,5.7812e+13,1.70616e+11,18350080:5.781e+13;25690112:5.774e+13;22544384:5.767e+13
91226112,2465.917969,1.65853e+11,6.38085e+10,5.78526e+13,1.70762e+11,9961472:5.785e+13;27787264:5.762e+13;16252928:5.758e+13
92274688,2462.988281,1.66959e+11,6.3116e+10,5.75467e+13,1.7192e+11,30932992:5.755e+13;524288:5.753e+13;2621440:5.743e+13
93323264,2460.058594,1.68195e+11,6.34914e+10,5.82827e+13,1.73225e+11,30932992:5.828e+13;9961472:5.78e+13;7864320:5.778e+13
94371840,2457.128906,1.68056e+11,6.34249e+10,5.78318e+13,1.73078e+11,31981568:5.783e+13;19398656:5.766e+13;14155776:5.766e+13
95420416,2454.199219,1.6524e+11,6.30985e+10,5.77204e+13,1.70178e+11,21495808:5.772e+13;26738688:5.751e+13;17301504:5.744e+13
96468992,2451.269531,1.60785e+11,6.28272e+10,5.76522e+13,1.65601e+11,16252928:5.765e+13;30932992:5.746e+13;17301504:5.743e+13
97517568,2448.339844,1.57084e+11,6.64738e+10,6.22157e+13,1.61804e+11,19398656:6.222e+13;30932992:6.22e+13;26738688:6.214e+13
98566144,2445.410156,1.55611e+11,6.23147e+10,5.7897e+13,1.60297e+11,8912896:5.79e+13;24641536:5.754e+13;29884416:5.751e+13
99614720,2442.480469,1.56163e+11,6.22739e+10,5.76053e+13,1.60856e+11,22544384:5.761e+13;23592960:5.76e+13;14155776:5.759e+13
100663296,2439.550781,1.56946e+11,6.25396e+10,5.79236e+13,1.61693e+11,5767168:5.792e+13;23592960:5.781e+13;8912896:5.781e+13
101711872,2436.621094,1.5583e+11,6.22975e+10,5.77432e+13,1.60476e+11,31981568:5.774e+13;11010048:5.753e+13;14155776:5.75e+13
102760448,2433.691406,1.52207e+11,6.20399e+10,5.79627e+13,1.56784e+11,15204352:5.796e+13;21495808:5.764e+13;11010048:5.755e+13
103809024,2430.761719,1.51255e+11,6.19892e+10,5.75941e+13,1.55849e+11,22544384:5.759e+13;15204352:5.749e+13;2621440:5.747e+13
104857600,2427.832031,1.54142e+11,6.21482e+10,5.75771e+13,1.5883e+11,524288:5.758e+13;27787264:5.75e+13;22544384:5.749e+13
105906176,2424.902344,1.60103e+11,6.25483e+10,5.77929e+13,1.6494e+11,15204352:5.779e+13;30932992:5.768e+13;524288:5.767e+13
106954752,2421.972656,1.66226e+11,6.30302e+10,5.79609e+13,1.71255e+11,524288:5.796e+13;7864320:5.769e+13;12058624:5.744e+13
108003328,2419.042969,1.68941e+11,6.33691e+10,5.77776e+13,1.74105e+11,3670016:5.778e+13;21495808:5.764e+13;19398656:5.755e+13
109051904,2416.113281,1.68183e+11,6.34451e+10,5.78482e+13,1.73314e+11,33030144:5.785e+13;22544384:5.773e+13;15204352:5.738e+13
110100480,2413.183594,1.6618e+11,6.29621e+10,5.82073e+13,1.7128e+11,33030144:5.821e+13;8912896:5.765e+13;24641536:5.732e+13
111149056,2410.253906,1.67072e+11,6.31051e+10,5.77333e+13,1.72265e+11,3670016:5.773e+13;27787264:5.758e+13;23592960:5.749e+13
112197632,2407.324219,1.69944e+11,6.33397e+10,5.76524e+13,1.75213e+11,29884416:5.765e+13;13107200:5.742e+13;19398656:5.739e+13
113246208,2404.394531,1.73799e+11,6.37504e+10,5.78848e+13,1.7922e+11,31981568:5.788e+13;21495808:5.785e+13;14155776:5.757e+13
114294784,2401.464844,1.74088e+11,8.86037e+11,1.05893e+15,1.78793e+11,524288:1.059e+15;1572864:1.038e+15;2621440:1.029e+15
115343360,2398.535156,1.63437e+11,6.23897e+10,5.7651e+13,1.68483e+11,8912896:5.765e+13;16252928:5.7e+13;18350080:5.683e+13
